recipe_id,veg_1,veg_2,veg_3,veg_4,veg_5,category
7571262,cucumber,garlic,,,,chinese
1840831,corn,lettuce,,,,western
72970,onion ,broccoli,,,,japanese
5573453,lettuce,,,,,chinese
5289866,eggplant,,,,,western
3646882,sweet potato,,,,,japanese
3397319,asparagus,,,,,chinese
5809249,tomato,onion,,,,western
6084206,onion ,garlic,lettuce,chinese cabbage,,japanese
1611466,asparagus,carrot,,,,western
6145997,radish,eggplant,green onion,ginger,,japanese
6286020,tomato,garlic,onion,lettuce,,western
7386592,tomato,,,,,chinese
7537014,carrot,,,,,chinese
4804888,cabbage,,,,,japanese
2934638,broccoli,pumpkin,cabbage,onion,tomato,western
2310350,onion ,pumpkin,garlic,,,japanese
5111130,radish,carrot,,,,chinese
2103086,garlic,eggplant,,,,western
6520631,lettuce,garlic,ginger,,,chinese
992124,carrot,onion,cabbage,bean sprouts,,western
7361567,bell pepper,cucumber,,,,chinese
3043500,tomato,onion,,,,western
2723304,tomato,ginger,,,,japanese
5721388,tomato,garlic,,,,western
3282420,onion ,,,,,japanese
7456850,potato,,,,,western
7333264,eggplant,green onion,ginger,,,chinese
6904907,potato,,garlic,,,chinese
475986,pumpkin,,,,,japanese
1724250,asparagus,corn,,,,western
99885,radish,carrot,,,,japanese
7168591,broccoli,carrot,onion,,,western
622884,cucumber,eggplant,,,,japanese
6593174,tomato,onion,,,,western
720587,cucumber,,,,,japanese
4646725,eggplant,,,,,western
6167423,radish,carrot,garlic,,,japanese
4484284,tomato,eggplant,,,,western
1363954,carrot,chinese cabbage,green onion,ginger,,japanese
456726,carrot,onion,tomato,,,western
886119,eggplant,,,,,japanese
1168383,pumpkin,,,,,japanese
1486258,eggplant,bell pepper,,,,western
6869468,tomato,garlic,,,,japanese
1769773,tomato,potato,carrot,cabbage,onion,western
4225409,carrot,,,,,japanese
2531653,tomato,broccoli,,,,japanese
5846870,tomato,garlic,onion,,,western
6526355,radish,green onion,,,,chinese
2000281,eggplant,onion,,,,western
2232216,green onion,,,,,japanese
1531551,radish,onion,eggplant,,,japanese
3479883,asparagus,,tomato,bell pepper,garlic,chinese
5517438,carrot,broccoli,chinese cabbage,,,western
601029,radish,,,,,japanese
2741900,tomato,onion,garlic,,,western
5663889,onion ,,,,,japanese
5316090,potato,chinese cabbage,,,,chinese
3586849,asparagus,onion,carrot,garlic,,western
4308088,radish,green onion,garlic,,,chinese
3037213,broccoli,asparagus,potato,carrot,onion,western
2267510,radish,,,,,chinese
3536789,potato,,,,,japanese
7546920,onion,garlic,ginger,,,chinese
736636,broccoli,carrot,onion,,,western
5511173,radish,garlic,ginger,,,japanese
933133,onion,carrot,,,,western
3763114,asparagus,,,,,chinese
647990,sweet potato,,,,,western
1877053,tomato,,,,,japanese
7670393,carrot,broccoli,ginger,pumpkin,,japanese
4126274,pumpkin,ginger,,,,japanese
7680818,onion,bean sprouts,,garlic,,western
